Country,2015,2016,2017,2018,2019,2020,2021
Austria,2.482867399,-0.090221574,0.828663249,0.76126755,2.496601485,1.242125131,1.957474681
Finland,1.491806199,1.434776886,0.990570119,0.608215188,1.060070671,0.829892999,1.324420305
France,0.814562624,0.753309336,0.85092079,0.253312827,1.249590357,0.522094005,0.666843994
Greece,-0.062591932,3.297529202,-1.109561632,0.418454936,0.83189596,0.195282933,0.478946017
Hungary,-7.029367814,3.375319819,3.261938759,1.643978736,3.201523671,-10.33189794,4.625939236
Netherlands,2.392576434,1.841268768,2.485348563,2.5076948,2.912544644,3.038958247,1.882265276
Norway,1.533580116,3.806423611,4.135134005,3.18798683,2.926070039,2.967639498,1.997283108
Poland,1.571715324,1.69694565,1.639368862,1.895650633,1.849517517,1.514343227,2.374612873
Switzerland,2.844415978,2.406227884,2.00414651,1.693766938,0.951365756,1.636661211,1.870032726
United Kingdom,-3.703660817,1.489261923,1.614919343,1.934389338,9.426063084,4.227862392,4.102499812
