"COU","Country","VAR","Variable","CO2","Country of origin","YEA","Year","Value","Flag Codes","Flags"
"AUT","Austria","TNBD","Total number of doctors","TOT","Total","2014","2014",36772,,
"AUT","Austria","TNBD","Total number of doctors","TOT","Total","2015","2015",37685,,
"AUT","Austria","TNBD","Total number of doctors","TOT","Total","2016","2016",37651,,
"AUT","Austria","TNBD","Total number of doctors","TOT","Total","2017","2017",37963,,
"AUT","Austria","TNBD","Total number of doctors","TOT","Total","2018","2018",38252,,
"AUT","Austria","TNBD","Total number of doctors","TOT","Total","2019","2019",39207,,
"AUT","Austria","TNBD","Total number of doctors","TOT","Total","2020","2020",39694,,
"AUT","Austria","TNBD","Total number of doctors","TOT","Total","2021","2021",40471,,
"AUT","Austria","DTRD","Domestically-trained doctors","TOT","Total","2014","2014",34910,,
"AUT","Austria","DTRD","Domestically-trained doctors","TOT","Total","2015","2015",35747,,
"AUT","Austria","DTRD","Domestically-trained doctors","TOT","Total","2016","2016",35593,,
"AUT","Austria","DTRD","Domestically-trained doctors","TOT","Total","2017","2017",35774,,
"AUT","Austria","DTRD","Domestically-trained doctors","TOT","Total","2018","2018",35970,,
"AUT","Austria","DTRD","Domestically-trained doctors","TOT","Total","2019","2019",36710,,
"AUT","Austria","DTRD","Domestically-trained doctors","TOT","Total","2020","2020",37099,,
"AUT","Austria","DTRD","Domestically-trained doctors","TOT","Total","2021","2021",37709,,
"AUT","Austria","FTDS","Foreign-trained doctors - Stock","TOT","Total","2014","2014",1862,,
"AUT","Austria","FTDS","Foreign-trained doctors - Stock","TOT","Total","2015","2015",1938,,
"AUT","Austria","FTDS","Foreign-trained doctors - Stock","TOT","Total","2016","2016",2058,,
"AUT","Austria","FTDS","Foreign-trained doctors - Stock","TOT","Total","2017","2017",2189,,
"AUT","Austria","FTDS","Foreign-trained doctors - Stock","TOT","Total","2018","2018",2282,,
"AUT","Austria","FTDS","Foreign-trained doctors - Stock","TOT","Total","2019","2019",2497,,
"AUT","Austria","FTDS","Foreign-trained doctors - Stock","TOT","Total","2020","2020",2595,,
"AUT","Austria","FTDS","Foreign-trained doctors - Stock","TOT","Total","2021","2021",2762,,
"AUT","Austria","SFTD","% of foreign-trained doctors","TOT","Total","2014","2014",5.06,,
"AUT","Austria","SFTD","% of foreign-trained doctors","TOT","Total","2015","2015",5.14,,
"AUT","Austria","SFTD","% of foreign-trained doctors","TOT","Total","2016","2016",5.47,,
"AUT","Austria","SFTD","% of foreign-trained doctors","TOT","Total","2017","2017",5.77,,
"AUT","Austria","SFTD","% of foreign-trained doctors","TOT","Total","2018","2018",5.97,,
"AUT","Austria","SFTD","% of foreign-trained doctors","TOT","Total","2019","2019",6.37,,
"AUT","Austria","SFTD","% of foreign-trained doctors","TOT","Total","2020","2020",6.54,,
"AUT","Austria","SFTD","% of foreign-trained doctors","TOT","Total","2021","2021",6.82,,
"AUT","Austria","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2014","2014",263,,
"AUT","Austria","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2015","2015",242,,
"AUT","Austria","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2016","2016",225,,
"AUT","Austria","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2017","2017",238,,
"AUT","Austria","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2018","2018",209,,
"AUT","Austria","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2019","2019",257,,
"AUT","Austria","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2020","2020",224,,
"AUT","Austria","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2021","2021",207,,
"AUT","Austria","IFTN","Foreign-trained nurses - Annual inflow","TOT","Total","2014","2014",992,,
"AUT","Austria","IFTN","Foreign-trained nurses - Annual inflow","TOT","Total","2015","2015",983,,
"AUT","Austria","IFTN","Foreign-trained nurses - Annual inflow","TOT","Total","2016","2016",839,,
"AUT","Austria","IFTN","Foreign-trained nurses - Annual inflow","TOT","Total","2017","2017",655,,
"AUT","Austria","IFTN","Foreign-trained nurses - Annual inflow","TOT","Total","2018","2018",624,,
"AUT","Austria","IFTN","Foreign-trained nurses - Annual inflow","TOT","Total","2019","2019",661,,
"AUT","Austria","IFTN","Foreign-trained nurses - Annual inflow","TOT","Total","2020","2020",615,,
"AUT","Austria","IFTN","Foreign-trained nurses - Annual inflow","TOT","Total","2021","2021",616,,
"FIN","Finland","TNBD","Total number of doctors","TOT","Total","2014","2014",22456,,
"FIN","Finland","TNBD","Total number of doctors","TOT","Total","2015","2015",22791,,
"FIN","Finland","TNBD","Total number of doctors","TOT","Total","2016","2016",23118,,
"FIN","Finland","TNBD","Total number of doctors","TOT","Total","2017","2017",23347,,
"FIN","Finland","TNBD","Total number of doctors","TOT","Total","2018","2018",23489,,
"FIN","Finland","TNBD","Total number of doctors","TOT","Total","2019","2019",23738,,
"FIN","Finland","TNBD","Total number of doctors","TOT","Total","2020","2020",23935,,
"FIN","Finland","TNBD","Total number of doctors","TOT","Total","2021","2021",24252,,
"FIN","Finland","DTRD","Domestically-trained doctors","TOT","Total","2014","2014",18559,,
"FIN","Finland","DTRD","Domestically-trained doctors","TOT","Total","2015","2015",18758,,
"FIN","Finland","DTRD","Domestically-trained doctors","TOT","Total","2016","2016",18983,,
"FIN","Finland","DTRD","Domestically-trained doctors","TOT","Total","2017","2017",19085,,
"FIN","Finland","DTRD","Domestically-trained doctors","TOT","Total","2018","2018",19146,,
"FIN","Finland","DTRD","Domestically-trained doctors","TOT","Total","2019","2019",19264,,
"FIN","Finland","DTRD","Domestically-trained doctors","TOT","Total","2020","2020",19329,,
"FIN","Finland","DTRD","Domestically-trained doctors","TOT","Total","2021","2021",19503,,
"FIN","Finland","FTDS","Foreign-trained doctors - Stock","TOT","Total","2014","2014",3791,,
"FIN","Finland","FTDS","Foreign-trained doctors - Stock","TOT","Total","2015","2015",3937,,
"FIN","Finland","FTDS","Foreign-trained doctors - Stock","TOT","Total","2016","2016",4054,,
"FIN","Finland","FTDS","Foreign-trained doctors - Stock","TOT","Total","2017","2017",4192,,
"FIN","Finland","FTDS","Foreign-trained doctors - Stock","TOT","Total","2018","2018",4291,,
"FIN","Finland","FTDS","Foreign-trained doctors - Stock","TOT","Total","2019","2019",4437,,
"FIN","Finland","FTDS","Foreign-trained doctors - Stock","TOT","Total","2020","2020",4576,,
"FIN","Finland","FTDS","Foreign-trained doctors - Stock","TOT","Total","2021","2021",4728,,
"FIN","Finland","SFTD","% of foreign-trained doctors","TOT","Total","2014","2014",16.88,,
"FIN","Finland","SFTD","% of foreign-trained doctors","TOT","Total","2015","2015",17.27,,
"FIN","Finland","SFTD","% of foreign-trained doctors","TOT","Total","2016","2016",17.54,,
"FIN","Finland","SFTD","% of foreign-trained doctors","TOT","Total","2017","2017",17.96,,
"FIN","Finland","SFTD","% of foreign-trained doctors","TOT","Total","2018","2018",18.27,,
"FIN","Finland","SFTD","% of foreign-trained doctors","TOT","Total","2019","2019",18.69,,
"FIN","Finland","SFTD","% of foreign-trained doctors","TOT","Total","2020","2020",19.12,,
"FIN","Finland","SFTD","% of foreign-trained doctors","TOT","Total","2021","2021",19.5,,
"FIN","Finland","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2014","2014",225,,
"FIN","Finland","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2015","2015",213,,
"FIN","Finland","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2016","2016",198,,
"FIN","Finland","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2017","2017",203,,
"FIN","Finland","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2018","2018",194,,
"FIN","Finland","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2019","2019",231,,
"FIN","Finland","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2020","2020",236,,
